cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien,day
91.6,Cielo cubierto,6,Suroeste,241.81,20220531T00,20,157,17.1008,-96.7626,3,Oaxaca,San Jacinto Amilpas,4.03,95.0,9.33,18.74,12.87,4.75,2022-05-31
95.72,Cielo cubierto,6,Este,79.15,20220528T00,20,174,16.9889,-96.7132,0,Oaxaca,Ánimas Trujano,0.32,20.0,13.75,22.62,14.36,5.66,2022-05-28
95.83,Cielo cubierto,6,Sureste,116.36,20220529T00,20,174,16.9889,-96.7132,1,Oaxaca,Ánimas Trujano,4.4,95.0,18.06,24.6,14.41,7.74,2022-05-29
95.83,Cielo cubierto,6,Sur,183.47,20220530T00,20,174,16.9889,-96.7132,2,Oaxaca,Ánimas Trujano,31.57,95.0,32.87,19.24,14.06,8.28,2022-05-30
91.67,Cielo cubierto,6,Suroeste,212.37,20220531T00,20,174,16.9889,-96.7132,3,Oaxaca,Ánimas Trujano,4.11,95.0,8.51,19.31,13.5,4.07,2022-05-31
95.77,Cielo cubierto,6,Este,70.0,20220528T00,20,192,16.8285,-96.672,0,Oaxaca,San Juan Chilateca,0.2,80.0,12.08,21.52,14.87,6.85,2022-05-28
95.83,Cielo cubierto,6,Este,104.24,20220529T00,20,192,16.8285,-96.672,1,Oaxaca,San Juan Chilateca,4.75,95.0,16.37,24.17,14.86,8.2,2022-05-29
95.83,Cielo cubierto,6,Sur,172.63,20220530T00,20,192,16.8285,-96.672,2,Oaxaca,San Juan Chilateca,40.02,95.0,31.92,19.72,14.63,8.99,2022-05-30
91.67,Cielo cubierto,6,Sureste,149.42,20220531T00,20,192,16.8285,-96.672,3,Oaxaca,San Juan Chilateca,3.64,95.0,7.24,19.76,14.38,3.67,2022-05-31
95.82,Cielo cubierto,6,Suroeste,221.83,20220528T00,20,216,17.305,-96.207,0,Oaxaca,San Juan Tabaá,4.96,95.0,8.69,17.89,14.35,3.56,2022-05-28
95.83,Cielo cubierto,6,Sureste,119.31,20220529T00,20,216,17.305,-96.207,1,Oaxaca,San Juan Tabaá,10.09,95.0,7.36,19.92,14.84,3.03,2022-05-29
95.83,Cielo cubierto,6,Este,91.22,20220530T00,20,216,17.305,-96.207,2,Oaxaca,San Juan Tabaá,68.04,95.0,16.26,16.81,14.09,4.87,2022-05-30
91.67,Cielo cubierto,6,Suroeste,239.84,20220531T00,20,216,17.305,-96.207,3,Oaxaca,San Juan Tabaá,10.6,95.0,7.63,16.2,14.14,2.94,2022-05-31
92.51,Cielo cubierto,6,Este,95.17,20220528T00,20,228,18.2065,-96.9131,0,Oaxaca,San Lorenzo Cuaunecuiltitla,7.63,95.0,16.32,25.12,15.69,6.14,2022-05-28
95.41,Cielo cubierto,6,Este,101.19,20220529T00,20,228,18.2065,-96.9131,1,Oaxaca,San Lorenzo Cuaunecuiltitla,2.3,95.0,11.49,25.32,17.62,5.27,2022-05-29
95.83,Cielo cubierto,6,Este,94.22,20220530T00,20,228,18.2065,-96.9131,2,Oaxaca,San Lorenzo Cuaunecuiltitla,17.95,95.0,9.41,20.41,16.75,4.16,2022-05-30
91.37,Cielo cubierto,6,Sureste,150.58,20220531T00,20,228,18.2065,-96.9131,3,Oaxaca,San Lorenzo Cuaunecuiltitla,6.91,95.0,8.49,18.98,16.34,3.5,2022-05-31
95.21,Cielo cubierto,6,Noreste,59.03,20220528T00,20,238,16.6565,-96.729,0,Oaxaca,San Martín de los Cansecos,0.1,0.0,19.66,24.15,15.04,8.54,2022-05-28
95.83,Cielo cubierto,6,Este,87.53,20220529T00,20,238,16.6565,-96.729,1,Oaxaca,San Martín de los Cansecos,4.38,95.0,14.29,24.26,14.87,6.99,2022-05-29
95.83,Cielo cubierto,6,Sur,170.64,20220530T00,20,238,16.6565,-96.729,2,Oaxaca,San Martín de los Cansecos,38.69,95.0,44.01,20.69,15.07,9.11,2022-05-30
91.67,Cielo cubierto,6,Sureste,146.89,20220531T00,20,238,16.6565,-96.729,3,Oaxaca,San Martín de los Cansecos,10.06,95.0,8.36,22.15,15.19,3.47,2022-05-31
94.79,Cielo cubierto,6,Noreste,59.65,20220528T00,20,241,16.6109,-96.8494,0,Oaxaca,San Martín Lachilá,0.17,0.0,20.61,24.98,14.36,8.77,2022-05-28
95.83,Cielo cubierto,6,Este,85.94,20220529T00,20,241,16.6109,-96.8494,1,Oaxaca,San Martín Lachilá,3.52,95.0,12.38,24.1,14.41,7.0,2022-05-29
95.83,Cielo cubierto,6,Sur,183.23,20220530T00,20,241,16.6109,-96.8494,2,Oaxaca,San Martín Lachilá,28.47,95.0,40.46,20.83,14.6,8.8,2022-05-30
91.59,Cielo cubierto,6,Sureste,156.05,20220531T00,20,241,16.6109,-96.8494,3,Oaxaca,San Martín Lachilá,14.18,95.0,7.56,22.69,14.85,3.26,2022-05-31
92.8,Cielo cubierto,6,Este,102.48,20220528T00,20,249,18.1437,-96.8684,0,Oaxaca,San Mateo Yoloxochitlán,9.16,95.0,14.67,24.75,15.88,5.3,2022-05-28
95.47,Cielo cubierto,6,Este,102.92,20220529T00,20,249,18.1437,-96.8684,1,Oaxaca,San Mateo Yoloxochitlán,2.41,95.0,10.81,25.01,17.55,4.77,2022-05-29
95.83,Cielo cubierto,6,Este,93.87,20220530T00,20,249,18.1437,-96.8684,2,Oaxaca,San Mateo Yoloxochitlán,20.55,95.0,8.79,20.19,16.78,4.01,2022-05-30
91.49,Cielo cubierto,6,Sureste,150.82,20220531T00,20,249,18.1437,-96.8684,3,Oaxaca,San Mateo Yoloxochitlán,8.54,95.0,7.85,18.87,16.39,3.27,2022-05-31
95.5,Cielo cubierto,6,Noreste,57.34,20220528T00,20,250,17.4148,-97.2717,0,Oaxaca,San Mateo Etlatongo,0.37,95.0,24.54,22.81,9.4,10.47,2022-05-28
95.77,Cielo cubierto,6,Noreste,61.47,20220529T00,20,250,17.4148,-97.2717,1,Oaxaca,San Mateo Etlatongo,4.36,95.0,16.63,24.59,11.77,8.1,2022-05-29
95.83,Cielo cubierto,6,Este,73.27,20220530T00,20,250,17.4148,-97.2717,2,Oaxaca,San Mateo Etlatongo,9.34,95.0,27.96,19.16,11.95,8.81,2022-05-30
91.57,Cielo cubierto,6,Noreste,35.45,20220531T00,20,250,17.4148,-97.2717,3,Oaxaca,San Mateo Etlatongo,1.65,95.0,12.32,18.42,12.01,5.71,2022-05-31
